Category: All categories

Country,skin_brightening: (2013)
Uganda,100
Trinidad & Tobago,71
Nigeria,55
Singapore,53
Bangladesh,51
Kenya,37
South Africa,33
New Zealand,26
Australia,23
India,23
Kuwait,22
Hong Kong,22
Canada,22
United States,21
United Arab Emirates,19
Malaysia,19
Thailand,18
United Kingdom,18
Philippines,17
Pakistan,12
Ireland,9
Indonesia,9
Sweden,7
Saudi Arabia,6
Vietnam,5
China,4
Netherlands,4
Türkiye,3
Belgium,3
Poland,2
Germany,2
Russia,2
Mexico,1
Spain,1
France,1
Italy,1
Brazil,1
Lebanon,
Zimbabwe,
Botswana,
Cocos (Keeling) Islands,
Switzerland,
Chile,
Bouvet Island,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Czechia,
Bhutan,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Brunei,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Barbados,
Faroe Islands,
Micronesia,
Gabon,
Bolivia,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Bermuda,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Belize,
Isle of Man,
Belarus,
British Indian Ocean Territory,
St. Barthélemy,
Iran,
Iraq,
Iceland,
Israel,
Bosnia & Herzegovina,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Bahamas,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Bahrain,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Bulgaria,
Marshall Islands,
Central African Republic,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Burkina Faso,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Caribbean Netherlands,
Nicaragua,
Niue,
Benin,
Norway,
Nepal,
Nauru,
Burundi,
Oman,
Azerbaijan,
Panama,
Pitcairn Islands,
Peru,
Austria,
Palau,
Papua New Guinea,
Antigua & Barbuda,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
French Southern Territories,
Rwanda,
Antarctica,
Sudan,
Senegal,
American Samoa,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Armenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Argentina,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Andorra,
Tunisia,
Albania,
Tuvalu,
Taiwan,
Tanzania,
Åland Islands,
Ukraine,
U.S. Outlying Islands,
Uruguay,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
North Macedonia,
