Category: All categories

Country,skin_brightening: (2011)
Nigeria,100
Singapore,58
Thailand,38
Canada,34
South Africa,34
United States,32
Australia,30
Malaysia,29
Pakistan,28
United Kingdom,27
New Zealand,26
Philippines,22
India,18
Ireland,16
Indonesia,11
Vietnam,7
China,4
Türkiye,3
Germany,1
Lebanon,
Zimbabwe,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Brazil,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Benin,
Cocos (Keeling) Islands,
Switzerland,
Chile,
Belgium,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Czechia,
Burundi,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Spain,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
France,
Faroe Islands,
Micronesia,
Gabon,
Azerbaijan,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Austria,
Isle of Man,
Antigua & Barbuda,
British Indian Ocean Territory,
French Southern Territories,
Iran,
Iraq,
Iceland,
Israel,
Italy,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Caribbean Netherlands,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Antarctica,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
American Samoa,
Nicaragua,
Niue,
Netherlands,
Norway,
Nepal,
Nauru,
Armenia,
Oman,
Argentina,
Panama,
Pitcairn Islands,
Peru,
United Arab Emirates,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
Russia,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Andorra,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Sweden,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Albania,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Åland Islands,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Ukraine,
U.S. Outlying Islands,
Uruguay,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Macao,
