Category: All categories

Country,skin_brightening: (2010)
Kazakhstan,100
Singapore,9
South Africa,7
Thailand,6
Czechia,4
Malaysia,4
United States,3
Australia,3
Canada,3
United Kingdom,2
India,2
China,1
Germany,<1
Lebanon,
Zimbabwe,
Austria,
Azerbaijan,
Burundi,
Belgium,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Brazil,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
French Southern Territories,
Cocos (Keeling) Islands,
Switzerland,
Chile,
Antarctica,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
American Samoa,
Armenia,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Spain,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
France,
Faroe Islands,
Micronesia,
Gabon,
Argentina,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Indonesia,
Isle of Man,
United Arab Emirates,
British Indian Ocean Territory,
Ireland,
Iran,
Iraq,
Iceland,
Israel,
Italy,
Jamaica,
Jersey,
Jordan,
Japan,
Andorra,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Antigua & Barbuda,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Albania,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Netherlands,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Philippines,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
Russia,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Åland Islands,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Sweden,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Anguilla,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Türkiye,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Ukraine,
U.S. Outlying Islands,
Uruguay,
Afghanistan,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Lithuania,
