Category: All categories

Country,botox: (2010)
Cayman Islands,100
Bermuda,96
Lebanon,80
New Caledonia,69
Australia,66
Guam,59
Ireland,57
Canada,53
New Zealand,52
Sweden,51
Brunei,51
United Kingdom,49
Norway,48
United States,48
South Africa,46
Hong Kong,45
Singapore,44
Switzerland,42
Austria,42
Denmark,41
Macao,40
Albania,40
Jamaica,38
Iceland,38
Thailand,38
Philippines,37
Luxembourg,36
Germany,36
Netherlands,35
United Arab Emirates,34
Venezuela,34
Nicaragua,33
Colombia,32
Malta,31
Malaysia,31
Cyprus,30
Belgium,30
Ecuador,29
Brazil,29
Hungary,29
Puerto Rico,28
Greece,27
Bahrain,26
Panama,25
Finland,25
Chile,25
Costa Rica,24
Estonia,24
Paraguay,23
Mexico,21
Dominican Republic,21
Bolivia,21
El Salvador,21
Poland,21
Kenya,21
India,20
Spain,20
Syria,20
Qatar,20
Romania,19
Portugal,19
Sri Lanka,18
Czechia,18
Guatemala,18
Argentina,18
Pakistan,18
Tunisia,17
Slovakia,17
Uruguay,16
Croatia,16
Kuwait,16
Peru,16
Oman,15
France,14
South Korea,14
Morocco,14
Jordan,13
Nigeria,13
Algeria,12
Saudi Arabia,12
Slovenia,11
Italy,11
Vietnam,9
Bosnia & Herzegovina,9
Serbia,9
Latvia,9
Taiwan,9
Israel,9
Indonesia,8
Bulgaria,8
Türkiye,7
Iran,7
Egypt,6
Japan,4
China,4
Russia,3
Lithuania,3
Ukraine,2
Aruba,
Zimbabwe,
Haiti,
Heard & McDonald Islands,
Guyana,
Isle of Man,
French Guiana,
British Indian Ocean Territory,
Greenland,
Grenada,
Iraq,
Equatorial Guinea,
Guinea-Bissau,
Gambia,
Guadeloupe,
Jersey,
Guinea,
Gibraltar,
Kazakhstan,
Ghana,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Guernsey,
Georgia,
Laos,
Gabon,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Micronesia,
Lesotho,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Fiji,
Ethiopia,
St. Martin,
Western Sahara,
Monaco,
Moldova,
Madagascar,
Maldives,
Eritrea,
Marshall Islands,
North Macedonia,
Mali,
Dominica,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Djibouti,
Mayotte,
Namibia,
Christmas Island,
Niger,
Norfolk Island,
Curaçao,
Cuba,
Niue,
Cape Verde,
Comoros,
Nepal,
Nauru,
Cook Islands,
Congo - Brazzaville,
Congo - Kinshasa,
Cameroon,
Honduras,
Côte d’Ivoire,
Cocos (Keeling) Islands,
Palau,
Papua New Guinea,
Central African Republic,
Botswana,
North Korea,
Bouvet Island,
Bhutan,
Palestine,
French Polynesia,
Barbados,
Réunion,
Belize,
Belarus,
Rwanda,
St. Barthélemy,
Sudan,
Senegal,
Bahamas,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Bangladesh,
San Marino,
Somalia,
St. Pierre & Miquelon,
Burkina Faso,
South Sudan,
São Tomé & Príncipe,
Suriname,
Caribbean Netherlands,
Benin,
Burundi,
Eswatini,
Sint Maarten,
Seychelles,
Azerbaijan,
Turks & Caicos Islands,
Chad,
Togo,
Antigua & Barbuda,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
French Southern Territories,
Antarctica,
Tuvalu,
American Samoa,
Tanzania,
Uganda,
Armenia,
U.S. Outlying Islands,
Andorra,
Åland Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Anguilla,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Pitcairn Islands,
