Category: All categories

Country,botox: (2012)
Guernsey,100
Cayman Islands,90
Monaco,84
Australia,81
Jersey,74
Lebanon,73
Ireland,72
Aruba,70
Denmark,70
Belize,68
Isle of Man,68
United Kingdom,68
Norway,64
Brazil,59
Venezuela,58
Canada,58
Netherlands,57
Barbados,56
United States,55
New Zealand,53
Bermuda,53
Sweden,52
Switzerland,51
South Africa,50
Singapore,49
Luxembourg,48
Austria,46
Germany,46
Hong Kong,46
United Arab Emirates,45
Panama,44
French Polynesia,44
Nicaragua,43
Costa Rica,43
Malta,42
Cyprus,41
Suriname,40
Bahamas,40
Namibia,36
Puerto Rico,36
Iceland,36
Thailand,34
Belgium,34
Mauritius,34
Brunei,33
Slovakia,32
Malaysia,31
Estonia,31
Paraguay,30
Maldives,30
Spain,30
Macao,30
Chile,29
Colombia,29
Qatar,29
Croatia,27
Réunion,27
Finland,26
Martinique,26
Guam,26
Jamaica,26
New Caledonia,25
Hungary,25
Bolivia,25
Czechia,25
Mexico,25
Greece,24
Tunisia,24
Guatemala,23
Kuwait,23
Bahrain,23
Uruguay,23
Trinidad & Tobago,22
El Salvador,22
Cambodia,22
France,22
Ecuador,21
Guadeloupe,21
Portugal,20
Argentina,20
Dominican Republic,20
Morocco,20
Kenya,19
Mozambique,19
Poland,19
Philippines,18
Romania,18
Honduras,18
Mongolia,18
Peru,17
Albania,16
Angola,15
Pakistan,15
Jordan,15
Oman,14
Senegal,14
Moldova,14
Slovenia,14
India,14
North Macedonia,13
Georgia,13
Nepal,12
Sri Lanka,12
Italy,11
Bangladesh,11
Algeria,11
Côte d’Ivoire,11
Türkiye,11
Azerbaijan,11
Montenegro,11
Ghana,10
Latvia,10
Tanzania,9
Serbia,9
Syria,9
Vietnam,9
Armenia,9
South Korea,9
Israel,9
Iraq,9
Bosnia & Herzegovina,9
Indonesia,8
Libya,8
Iran,8
Taiwan,8
Saudi Arabia,7
Nigeria,6
Egypt,6
Palestine,6
Bulgaria,6
Lithuania,6
China,3
Russia,2
Kazakhstan,1
Ukraine,1
Japan,1
Greenland,
Zimbabwe,
Dominica,
Eritrea,
Madagascar,
Djibouti,
Christmas Island,
Marshall Islands,
Lesotho,
Mali,
Curaçao,
Myanmar (Burma),
Liechtenstein,
Cuba,
Northern Mariana Islands,
Cape Verde,
Mauritania,
Montserrat,
Comoros,
Cook Islands,
Malawi,
Congo - Brazzaville,
Mayotte,
Congo - Kinshasa,
Cameroon,
Niger,
Norfolk Island,
St. Lucia,
Laos,
Niue,
Western Sahara,
Cocos (Keeling) Islands,
Ethiopia,
Nauru,
Central African Republic,
Fiji,
Grenada,
Botswana,
Pitcairn Islands,
Bouvet Island,
Bhutan,
Palau,
Papua New Guinea,
Belarus,
St. Barthélemy,
North Korea,
St. Kitts & Nevis,
Kiribati,
Falkland Islands (Islas Malvinas),
Kyrgyzstan,
Burkina Faso,
Caribbean Netherlands,
Benin,
Faroe Islands,
Rwanda,
Micronesia,
Sudan,
Gabon,
Burundi,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
British Indian Ocean Territory,
San Marino,
Somalia,
St. Pierre & Miquelon,
Gibraltar,
South Sudan,
São Tomé & Príncipe,
Antigua & Barbuda,
French Southern Territories,
Guinea,
Antarctica,
Eswatini,
Sint Maarten,
Seychelles,
Haiti,
Turks & Caicos Islands,
Chad,
Togo,
American Samoa,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Gambia,
Andorra,
Guinea-Bissau,
Tuvalu,
Heard & McDonald Islands,
Equatorial Guinea,
Uganda,
Guyana,
U.S. Outlying Islands,
Åland Islands,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Afghanistan,
British Virgin Islands,
U.S. Virgin Islands,
French Guiana,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
St. Martin,
